sequence,distribution,dimension,n,backend,order,input_sha256,input_generation_seconds,first_call_seconds,samples_seconds,median_seconds,q25_seconds,q75_seconds
sobol,normal,10,256,gpu,0,758c85f5a3d859b17e3a48fb013154168bbf5253d45ef5b042e5d7de5a2583cf,1.0950487330001124,0.509792447000109,"[0.00029294900014065206, 0.00028152000004411093, 0.0002803799998218892, 0.00028543400003400166, 0.00026497999988350784, 0.0002691209997465194, 0.00026950100027534063]",0.0002803799998218892,0.00026931100001093,0.0002834770000390563
sobol,normal,10,256,cpu,1,758c85f5a3d859b17e3a48fb013154168bbf5253d45ef5b042e5d7de5a2583cf,1.0950487330001124,0.21868959899984475,"[0.00016112599996631616, 0.00015882799971222994, 0.00016256600019914913, 0.0001440679998268024, 0.00016579299972363515, 0.00015568699973300681, 0.00013769199995294912]",0.00015882799971222994,0.0001498774997799046,0.00016184600008273264
sobol,normal,10,512,cpu,0,b8c2d9ec81583f63605c56bc8e941a971b901012aef311d5144228587ae3e42e,1.152388055999836,0.22446595200017327,"[0.0004262130000824982, 0.00032852899994395557, 0.00031449499965674477, 0.00027861900025527575, 0.0003301619999547256, 0.0003142350001326122, 0.0003502619997561851]",0.00032852899994395557,0.0003143649998946785,0.00034021199985545536
sobol,normal,10,512,gpu,1,b8c2d9ec81583f63605c56bc8e941a971b901012aef311d5144228587ae3e42e,1.152388055999836,0.5326126090003527,"[0.0002598930000203836, 0.000276288999884855, 0.0002672679997886007, 0.0002683540001271467, 0.0002697980003176781, 0.00026535400002103415, 0.0002871780002351443]",0.0002683540001271467,0.00026631099990481744,0.00027304350010126655
sobol,normal,10,2048,gpu,0,49f97a7b9bd0475f2980743dfdf469b3756096abbd340edd919fad32f305e8d8,1.1655938660001084,0.6987028720000126,"[0.00035005700010515284, 0.00038028399967515725, 0.0003758970001399575, 0.0003833800001302734, 0.00036483399981079856, 0.000363576999916404, 0.0003731380002136575]",0.0003731380002136575,0.0003642054998636013,0.0003780904999075574
sobol,normal,10,2048,cpu,1,49f97a7b9bd0475f2980743dfdf469b3756096abbd340edd919fad32f305e8d8,1.1655938660001084,0.22384007299979203,"[0.0009333640000477317, 0.0010169229999519303, 0.0009850799997366266, 0.0009224120003636926, 0.0009581560002516198, 0.000990518999969936, 0.001060489999872516]",0.0009850799997366266,0.0009457600001496758,0.0010037209999609331
sobol,normal,10,8192,cpu,0,0bea50bfc13bcbe3e7dfab5fb86e9eaacbb174368f0fcad764235f65430da85e,1.2436335190000136,0.23153824000019085,"[0.0030979339999248623, 0.003148136999698181, 0.0031393680001201574, 0.0031906280000839615, 0.003061170999899332, 0.0031610689998160524, 0.0031584610001118563]",0.003148136999698181,0.00311865100002251,0.0031597649999639543
sobol,normal,10,8192,gpu,1,0bea50bfc13bcbe3e7dfab5fb86e9eaacbb174368f0fcad764235f65430da85e,1.2436335190000136,0.7144796050001787,"[0.00044027000012647477, 0.0004563869997582515, 0.0004964400000062597, 0.00042962399993484723, 0.00042465099977562204, 0.00045704700005444465, 0.00043541900004129275]",0.00044027000012647477,0.00043252149998807,0.00045671699990634806
sobol,normal,10,32768,gpu,0,93feb325bd769473a430805d3d5894feba157adba635c882085b7feb28c553d3,1.3071236750001844,0.8287075329999425,"[0.0004763449996971758, 0.0005162870002095588, 0.0005044109998380009, 0.0005098639999232546, 0.000493579999783833, 0.0005007110003134585, 0.0004889859997092572]",0.0005007110003134585,0.0004912829997465451,0.0005071374998806277
sobol,normal,10,32768,cpu,1,93feb325bd769473a430805d3d5894feba157adba635c882085b7feb28c553d3,1.3071236750001844,0.24640629400028047,"[0.012419946999671083, 0.012505141000019648, 0.012593477999871538, 0.012494438999965496, 0.012528097000085836, 0.01911005500005558, 0.012498632000188081]",0.012505141000019648,0.012496535500076789,0.012560787499978687
sobol,normal,10,131072,cpu,0,f39d5ae45a1a1b895f2044fa0009902cd5c5c4bf2eae7cf182f5e3d47b0d32a0,1.4082767569998396,0.278559698999743,"[0.052876432000175555, 0.05304668100006893, 0.052683173999866995, 0.051178646000153094, 0.05210088099966015, 0.05241245599972899, 0.051306666000073164]",0.05241245599972899,0.051703773499866656,0.052779803000021275
sobol,normal,10,131072,gpu,1,f39d5ae45a1a1b895f2044fa0009902cd5c5c4bf2eae7cf182f5e3d47b0d32a0,1.4082767569998396,0.5921385040001041,"[0.0006189010000525741, 0.0007074739996824064, 0.0006499539999822446, 0.0006421920002139814, 0.0006683850001536484, 0.0006413989999600744, 0.0006432199998016586]",0.0006432199998016586,0.0006417955000870279,0.0006591695000679465
sobol,normal,30,128,gpu,0,257856e32ba9c2724b34fde1c0bcdcd0a4eb58644d76af86fe9479c693322861,2.0218521289998534,0.45625473000018246,"[0.0002527929996176681, 0.0002445360000820074, 0.0002729689999796392, 0.00020469099990805262, 0.00018288799992660643, 0.00020832099971812568, 0.0001872590000857599]",0.00020832099971812568,0.00019597499999690626,0.00024866449984983774
sobol,normal,30,128,cpu,1,257856e32ba9c2724b34fde1c0bcdcd0a4eb58644d76af86fe9479c693322861,2.0218521289998534,0.41012911999996504,"[0.00011517599978105864, 0.00010892599993894692, 0.0001000359998215572, 0.0001001830000859627, 0.00010814699999173172, 0.00011202499990758952, 0.00010203100009675836]",0.00010814699999173172,0.00010110700009136053,0.00011047549992326822
sobol,normal,30,256,cpu,0,97115ce980ca97d156929444c7a2e0bdc12f09ebb532e089b42139d44587eb68,1.1724381490002997,0.20817082699977618,"[0.00020711699971798225, 0.00020164200032013468, 0.0002413799998066679, 0.0002480410003045108, 0.00019910500031983247, 0.0001894519996312738, 0.00019691699981194688]",0.00020164200032013468,0.00019801100006588968,0.00022424849976232508
